,Year,Dest,Fcount,airport,city,state,country,lat,lon
141,2004,DFW,4239,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
164,2004,JFK,3899,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556
17,2005,LGA,12496,LaGuardia,New York,NY,USA,40.77724306,-73.87260917
38,2005,DCA,10200,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
101,2005,ORD,7143,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
80,2005,PHL,6621,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083
121,2005,ATL,5836,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
59,2005,EWR,5319,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
165,2005,JFK,4979,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556
156,2005,BWI,4879,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833
194,2005,IAD,4201,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972
206,2005,RDU,4004,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222
18,2006,LGA,11815,LaGuardia,New York,NY,USA,40.77724306,-73.87260917
39,2006,DCA,9189,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
166,2006,JFK,8513,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556
102,2006,ORD,6922,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
81,2006,PHL,6660,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083
157,2006,BWI,6482,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833
195,2006,IAD,6295,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972
122,2006,ATL,5600,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
60,2006,EWR,5284,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
207,2006,RDU,3897,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222
19,2007,LGA,11462,LaGuardia,New York,NY,USA,40.77724306,-73.87260917
40,2007,DCA,8967,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
167,2007,JFK,7731,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556
103,2007,ORD,6996,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
82,2007,PHL,5794,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083
123,2007,ATL,5612,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
158,2007,BWI,5427,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833
196,2007,IAD,4879,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972
61,2007,EWR,4034,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
208,2007,RDU,3921,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222
20,2008,LGA,11207,LaGuardia,New York,NY,USA,40.77724306,-73.87260917
41,2008,DCA,8624,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
168,2008,JFK,7038,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556
104,2008,ORD,6739,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
83,2008,PHL,5994,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083
124,2008,ATL,5903,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
159,2008,BWI,4650,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833
197,2008,IAD,4052,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972
62,2008,EWR,3744,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
209,2008,RDU,3687,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222
